Time;Latitude;Longitude;Altitude;Speed;row;pitch;yaw
269,228224;-6,9821509;107,5699498;758,87;225.446.800.000.000;-191.000.000.000.000;558.000.000.000.000;248.960.000.000.000
269,428539;-6,9821808;107,569978;759,32;228.989.000.000.000;-211.000.000.000.000;578.000.000.000.000;249.050.000.000.000
269,628578;-6,9822108;107,5700064;759,64;226.331.400.000.000;-228.000.000.000.000;584.000.000.000.000;249.100.000.000.000
269,828801;-6,9822399;107,5700352;760,11;227.338.800.000.000;-246.000.000.000.000;577.000.000.000.000;249.080.000.000.000
270,029195;-6,9822686;107,5700646;760,61;226.910.400.000.000;-257.000.000.000.000;566.000.000.000.000;248.970.000.000.000
270,228806;-6,9822964;107,5700949;761,22;228.436.600.000.000;-262.000.000.000.000;561.000.000.000.000;248.800.000.000.000
270,428707;-6,9823237;107,5701255;761,81;227.196.600.000.000;-258.000.000.000.000;564.000.000.000.000;248.630.000.000.000
270,628415;-6,9823507;107,5701564;762,31;225.880.700.000.000;-243.000.000.000.000;571.000.000.000.000;248.510.000.000.000
270,828435;-6,9823768;107,5701877;763,03;227.227.700.000.000;-223.000.000.000.000;579.000.000.000.000;248.470.000.000.000
271,028418;-6,9824032;107,5702191;763,57;226.369.200.000.000;-201.000.000.000.000;580.000.000.000.000;248.510.000.000.000
271,228378;-6,9824292;107,5702504;764,13;225.436.000.000.000;-177.000.000.000.000;570.000.000.000.000;248.530.000.000.000
271,428705;-6,9824551;107,5702819;764,67;226.431.900.000.000;-154.000.000.000.000;547.000.000.000.000;248.500.000.000.000
271,628719;-6,9824811;107,5703136;765,13;227.163.900.000.000;-134.000.000.000.000;519.000.000.000.000;248.390.000.000.000
271,848167;-6,9825068;107,5703453;765,58;225.908.100.000.000;-113.000.000.000.000;484.000.000.000.000;248.230.000.000.000
